Date,time,Consumption,Month,Day,Year,Weekday,Hour,Min,HourMin
12/1/2017,0:00:00,72650.0,12,1,2017,Thu,0,00,0:00
12/1/2017,0:30:00,70553.0,12,1,2017,Thu,0,30,0:30
12/1/2017,1:00:00,68277.0,12,1,2017,Thu,1,00,1:00
12/1/2017,1:30:00,67611.0,12,1,2017,Thu,1,30,1:30
12/1/2017,2:00:00,67388.0,12,1,2017,Thu,2,00,2:00
12/1/2017,2:30:00,66649.0,12,1,2017,Thu,2,30,2:30
12/1/2017,3:00:00,65072.0,12,1,2017,Thu,3,00,3:00
12/1/2017,3:30:00,64198.0,12,1,2017,Thu,3,30,3:30
12/1/2017,4:00:00,63370.0,12,1,2017,Thu,4,00,4:00
12/1/2017,4:30:00,63570.0,12,1,2017,Thu,4,30,4:30
12/1/2017,5:00:00,64259.0,12,1,2017,Thu,5,00,5:00
12/1/2017,5:30:00,66136.0,12,1,2017,Thu,5,30,5:30
12/1/2017,6:00:00,68315.0,12,1,2017,Thu,6,00,6:00
12/1/2017,6:30:00,72486.0,12,1,2017,Thu,6,30,6:30
12/1/2017,7:00:00,76086.0,12,1,2017,Thu,7,00,7:00
12/1/2017,7:30:00,79098.0,12,1,2017,Thu,7,30,7:30
12/1/2017,8:00:00,80388.0,12,1,2017,Thu,8,00,8:00
12/1/2017,8:30:00,80419.0,12,1,2017,Thu,8,30,8:30
12/1/2017,9:00:00,80514.0,12,1,2017,Thu,9,00,9:00
12/1/2017,9:30:00,80958.0,12,1,2017,Thu,9,30,9:30
12/1/2017,10:00:00,80778.0,12,1,2017,Thu,10,00,10:00
12/1/2017,10:30:00,80387.0,12,1,2017,Thu,10,30,10:30
12/1/2017,11:00:00,80159.0,12,1,2017,Thu,11,00,11:00
12/1/2017,11:30:00,80249.0,12,1,2017,Thu,11,30,11:30
12/1/2017,12:00:00,80511.0,12,1,2017,Thu,12,00,12:00
12/1/2017,12:30:00,80027.0,12,1,2017,Thu,12,30,12:30
12/1/2017,13:00:00,79737.0,12,1,2017,Thu,13,00,13:00
12/1/2017,13:30:00,78806.0,12,1,2017,Thu,13,30,13:30
12/1/2017,14:00:00,77884.0,12,1,2017,Thu,14,00,14:00
12/1/2017,14:30:00,77084.0,12,1,2017,Thu,14,30,14:30
12/1/2017,15:00:00,75923.0,12,1,2017,Thu,15,00,15:00
12/1/2017,15:30:00,75678.0,12,1,2017,Thu,15,30,15:30
12/1/2017,16:00:00,75327.0,12,1,2017,Thu,16,00,16:00
12/1/2017,16:30:00,75342.0,12,1,2017,Thu,16,30,16:30
12/1/2017,17:00:00,76548.0,12,1,2017,Thu,17,00,17:00
12/1/2017,17:30:00,79542.0,12,1,2017,Thu,17,30,17:30
12/1/2017,18:00:00,80831.0,12,1,2017,Thu,18,00,18:00
12/1/2017,18:30:00,81484.0,12,1,2017,Thu,18,30,18:30
12/1/2017,19:00:00,82050.0,12,1,2017,Thu,19,00,19:00
12/1/2017,19:30:00,81109.0,12,1,2017,Thu,19,30,19:30
12/1/2017,20:00:00,79585.0,12,1,2017,Thu,20,00,20:00
12/1/2017,20:30:00,77644.0,12,1,2017,Thu,20,30,20:30
12/1/2017,21:00:00,75333.0,12,1,2017,Thu,21,00,21:00
12/1/2017,21:30:00,73445.0,12,1,2017,Thu,21,30,21:30
12/1/2017,22:00:00,72725.0,12,1,2017,Thu,22,00,22:00
12/1/2017,22:30:00,73371.0,12,1,2017,Thu,22,30,22:30
12/1/2017,23:00:00,75276.0,12,1,2017,Thu,23,00,23:00
12/1/2017,23:30:00,74792.0,12,1,2017,Thu,23,30,23:30
12/2/2017,0:00:00,74079.0,12,2,2017,Fri,0,00,0:00
12/2/2017,0:30:00,71921.0,12,2,2017,Fri,0,30,0:30
12/2/2017,1:00:00,69345.0,12,2,2017,Fri,1,00,1:00
12/2/2017,1:30:00,68737.0,12,2,2017,Fri,1,30,1:30
12/2/2017,2:00:00,68032.0,12,2,2017,Fri,2,00,2:00
12/2/2017,2:30:00,67232.0,12,2,2017,Fri,2,30,2:30
12/2/2017,3:00:00,65365.0,12,2,2017,Fri,3,00,3:00
12/2/2017,3:30:00,64462.0,12,2,2017,Fri,3,30,3:30
12/2/2017,4:00:00,63254.0,12,2,2017,Fri,4,00,4:00
12/2/2017,4:30:00,63110.0,12,2,2017,Fri,4,30,4:30
12/2/2017,5:00:00,63077.0,12,2,2017,Fri,5,00,5:00
12/2/2017,5:30:00,63972.0,12,2,2017,Fri,5,30,5:30
12/2/2017,6:00:00,64501.0,12,2,2017,Fri,6,00,6:00
12/2/2017,6:30:00,66003.0,12,2,2017,Fri,6,30,6:30
12/2/2017,7:00:00,67540.0,12,2,2017,Fri,7,00,7:00
12/2/2017,7:30:00,69106.0,12,2,2017,Fri,7,30,7:30
12/2/2017,8:00:00,70210.0,12,2,2017,Fri,8,00,8:00
12/2/2017,8:30:00,71654.0,12,2,2017,Fri,8,30,8:30
12/2/2017,9:00:00,73077.0,12,2,2017,Fri,9,00,9:00
12/2/2017,9:30:00,74360.0,12,2,2017,Fri,9,30,9:30
12/2/2017,10:00:00,75369.0,12,2,2017,Fri,10,00,10:00
12/2/2017,10:30:00,75423.0,12,2,2017,Fri,10,30,10:30
12/2/2017,11:00:00,75409.0,12,2,2017,Fri,11,00,11:00
12/2/2017,11:30:00,75802.0,12,2,2017,Fri,11,30,11:30
12/2/2017,12:00:00,76427.0,12,2,2017,Fri,12,00,12:00
12/2/2017,12:30:00,76987.0,12,2,2017,Fri,12,30,12:30
12/2/2017,13:00:00,77086.0,12,2,2017,Fri,13,00,13:00
12/2/2017,13:30:00,75605.0,12,2,2017,Fri,13,30,13:30
12/2/2017,14:00:00,74233.0,12,2,2017,Fri,14,00,14:00
12/2/2017,14:30:00,73553.0,12,2,2017,Fri,14,30,14:30
12/2/2017,15:00:00,72146.0,12,2,2017,Fri,15,00,15:00
12/2/2017,15:30:00,71534.0,12,2,2017,Fri,15,30,15:30
12/2/2017,16:00:00,71094.0,12,2,2017,Fri,16,00,16:00
12/2/2017,16:30:00,71319.0,12,2,2017,Fri,16,30,16:30
12/2/2017,17:00:00,72226.0,12,2,2017,Fri,17,00,17:00
12/2/2017,17:30:00,74934.0,12,2,2017,Fri,17,30,17:30
12/2/2017,18:00:00,76363.0,12,2,2017,Fri,18,00,18:00
12/2/2017,18:30:00,77065.0,12,2,2017,Fri,18,30,18:30
12/2/2017,19:00:00,78048.0,12,2,2017,Fri,19,00,19:00
12/2/2017,19:30:00,77657.0,12,2,2017,Fri,19,30,19:30
12/2/2017,20:00:00,76098.0,12,2,2017,Fri,20,00,20:00
12/2/2017,20:30:00,74419.0,12,2,2017,Fri,20,30,20:30
12/2/2017,21:00:00,73346.0,12,2,2017,Fri,21,00,21:00
12/2/2017,21:30:00,72010.0,12,2,2017,Fri,21,30,21:30
12/2/2017,22:00:00,71705.0,12,2,2017,Fri,22,00,22:00
12/2/2017,22:30:00,72970.0,12,2,2017,Fri,22,30,22:30
12/2/2017,23:00:00,75129.0,12,2,2017,Fri,23,00,23:00
12/2/2017,23:30:00,75094.0,12,2,2017,Fri,23,30,23:30
12/3/2017,0:00:00,74892.0,12,3,2017,Sat,0,00,0:00
12/3/2017,0:30:00,72878.0,12,3,2017,Sat,0,30,0:30
12/3/2017,1:00:00,70460.0,12,3,2017,Sat,1,00,1:00
12/3/2017,1:30:00,70237.0,12,3,2017,Sat,1,30,1:30
12/3/2017,2:00:00,69521.0,12,3,2017,Sat,2,00,2:00
12/3/2017,2:30:00,68738.0,12,3,2017,Sat,2,30,2:30
12/3/2017,3:00:00,66820.0,12,3,2017,Sat,3,00,3:00
12/3/2017,3:30:00,65424.0,12,3,2017,Sat,3,30,3:30
12/3/2017,4:00:00,64284.0,12,3,2017,Sat,4,00,4:00
12/3/2017,4:30:00,63947.0,12,3,2017,Sat,4,30,4:30
12/3/2017,5:00:00,63840.0,12,3,2017,Sat,5,00,5:00
12/3/2017,5:30:00,64332.0,12,3,2017,Sat,5,30,5:30
12/3/2017,6:00:00,64599.0,12,3,2017,Sat,6,00,6:00
12/3/2017,6:30:00,65128.0,12,3,2017,Sat,6,30,6:30
12/3/2017,7:00:00,65919.0,12,3,2017,Sat,7,00,7:00
12/3/2017,7:30:00,66372.0,12,3,2017,Sat,7,30,7:30
12/3/2017,8:00:00,67465.0,12,3,2017,Sat,8,00,8:00
12/3/2017,8:30:00,68052.0,12,3,2017,Sat,8,30,8:30
12/3/2017,9:00:00,69532.0,12,3,2017,Sat,9,00,9:00
12/3/2017,9:30:00,71281.0,12,3,2017,Sat,9,30,9:30
12/3/2017,10:00:00,72442.0,12,3,2017,Sat,10,00,10:00
12/3/2017,10:30:00,73221.0,12,3,2017,Sat,10,30,10:30
12/3/2017,11:00:00,73903.0,12,3,2017,Sat,11,00,11:00
12/3/2017,11:30:00,74714.0,12,3,2017,Sat,11,30,11:30
12/3/2017,12:00:00,75149.0,12,3,2017,Sat,12,00,12:00
12/3/2017,12:30:00,75490.0,12,3,2017,Sat,12,30,12:30
12/3/2017,13:00:00,75447.0,12,3,2017,Sat,13,00,13:00
12/3/2017,13:30:00,73218.0,12,3,2017,Sat,13,30,13:30
12/3/2017,14:00:00,71015.0,12,3,2017,Sat,14,00,14:00
12/3/2017,14:30:00,70004.0,12,3,2017,Sat,14,30,14:30
12/3/2017,15:00:00,68854.0,12,3,2017,Sat,15,00,15:00
12/3/2017,15:30:00,68138.0,12,3,2017,Sat,15,30,15:30
12/3/2017,16:00:00,67864.0,12,3,2017,Sat,16,00,16:00
12/3/2017,16:30:00,68439.0,12,3,2017,Sat,16,30,16:30
12/3/2017,17:00:00,69687.0,12,3,2017,Sat,17,00,17:00
12/3/2017,17:30:00,71726.0,12,3,2017,Sat,17,30,17:30
12/3/2017,18:00:00,73972.0,12,3,2017,Sat,18,00,18:00
12/3/2017,18:30:00,75295.0,12,3,2017,Sat,18,30,18:30
12/3/2017,19:00:00,76806.0,12,3,2017,Sat,19,00,19:00
12/3/2017,19:30:00,76684.0,12,3,2017,Sat,19,30,19:30
12/3/2017,20:00:00,75780.0,12,3,2017,Sat,20,00,20:00
12/3/2017,20:30:00,74207.0,12,3,2017,Sat,20,30,20:30
12/3/2017,21:00:00,72954.0,12,3,2017,Sat,21,00,21:00
12/3/2017,21:30:00,71559.0,12,3,2017,Sat,21,30,21:30
12/3/2017,22:00:00,70708.0,12,3,2017,Sat,22,00,22:00
12/3/2017,22:30:00,71301.0,12,3,2017,Sat,22,30,22:30
12/3/2017,23:00:00,73395.0,12,3,2017,Sat,23,00,23:00
12/3/2017,23:30:00,72466.0,12,3,2017,Sat,23,30,23:30
12/4/2017,0:00:00,71701.0,12,4,2017,Sun,0,00,0:00
12/4/2017,0:30:00,70079.0,12,4,2017,Sun,0,30,0:30
12/4/2017,1:00:00,67933.0,12,4,2017,Sun,1,00,1:00
12/4/2017,1:30:00,67605.0,12,4,2017,Sun,1,30,1:30
12/4/2017,2:00:00,66970.0,12,4,2017,Sun,2,00,2:00
12/4/2017,2:30:00,66586.0,12,4,2017,Sun,2,30,2:30
12/4/2017,3:00:00,64567.0,12,4,2017,Sun,3,00,3:00
12/4/2017,3:30:00,63734.0,12,4,2017,Sun,3,30,3:30
12/4/2017,4:00:00,62973.0,12,4,2017,Sun,4,00,4:00
12/4/2017,4:30:00,63069.0,12,4,2017,Sun,4,30,4:30
12/4/2017,5:00:00,63809.0,12,4,2017,Sun,5,00,5:00
12/4/2017,5:30:00,65999.0,12,4,2017,Sun,5,30,5:30
12/4/2017,6:00:00,68264.0,12,4,2017,Sun,6,00,6:00
12/4/2017,6:30:00,72209.0,12,4,2017,Sun,6,30,6:30
12/4/2017,7:00:00,75556.0,12,4,2017,Sun,7,00,7:00
12/4/2017,7:30:00,78758.0,12,4,2017,Sun,7,30,7:30
12/4/2017,8:00:00,79957.0,12,4,2017,Sun,8,00,8:00
12/4/2017,8:30:00,79551.0,12,4,2017,Sun,8,30,8:30
12/4/2017,9:00:00,79444.0,12,4,2017,Sun,9,00,9:00
